"Internal SKU","Primary EAN",Name,"Reference Numbers",Group,WMS,Warehouse,"Lot name",Quantity,Booked,Available,Required,"Expiration Date"
E0228,8006933027758,"GAROFANO A PIUMINO A MISCUGLIO",E0228,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,Lotto1,15,0,15,0,2027-12-31
E0233,8006933027802,"GERANIO ZONALE",E0233,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,Lotto1,3,0,3,0,2027-01-31
E0192,8006933027383,"GIRASOLE DOPPIO NANO GIALLO",E0192,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,17,0,17,0,2030-02-13
15320,8002840153207,"I - DIAVOLINA ACCENDIGRILL LIQUIDO lt 1",15320,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,Lotto1,74,0,74,0,2025-01-31
15332,8002840153320,"I - DIAVOLINA ECO-RICCI  24 acc.",15332,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,Lotto1,121,0,121,0,2025-01-31
15332,8002840153320,"I - DIAVOLINA ECO-RICCI  24 acc.",15332,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,LOTTO1,22,0,22,0,2035-01-31
16592,8002840165927,"I - DIAVOLINA MAXI ACCENDINI BLISTER 1x3",16592,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,Lotto1,78,0,78,0,2025-01-31
16570,8002840165705,"I - DIAVOLINA MINI ACCENDINI BLISTER 1x2",16570,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,03,135,0,135,0,2030-01-31
16575,8002840165750,"I - DIAVOLINA MINI ACCENDINI BLISTER 1x3",16575,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,Lotto1,75,0,75,0,2025-01-31
15370,8002840153702,"DIAVOLINA PULITORE PLASTICA",15370,,VITHALGARDENSCRAPING,VITHALGARDENSCRAPING,L1,1,0,1,0,2035-01-31
6113,3121970173550,"Evergreen Sport e Gioco Kg 1",6113,,VITHALGARDENSCRAPING,VITHALGARDENSCRAPING,F2163MO32971,2,0,2,0,2035-05-30
6118,3121970173598,"Evergreen Mediterraneo Plus Kg 1",6118,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,15,0,15,0,2035-01-31
15505,8002840155058,"DIAVOLINA GRIGLIA & GETTA",15505,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,220263422,90,0,90,0,2028-02-13
CON02,8023868004852,"Evergreen Mantenimento Kg 2",CON02,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,3,0,3,0,2035-01-31
15055,8002840150558,"DIAVOLINA SUPERVETRO Ricambio 1000ml.",15055,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,32,0,32,0,2035-01-31
EASYN,3121970183795,"Evergreen Spandiconcime Easy Green",EASYN,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,6,0,6,0,2035-01-31
15345,8002840153450,"I - DIAVOLINA  ACCENDIFUOCO BIO GEL ml 750",15345,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,20250213,85,0,85,0,2028-02-01
TE009,802386800809602,"ECO RESP. Terriccio Universale 20L",TE009,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,19,0,19,0,2035-05-30
16520,80768753,"DIAVOLINA LE TRE STELLE ""FAMILIARE ITALIA"" F.100",16520,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,41,0,41,0,2035-01-31
15376,8002840153764,"DIAVOLINA OLIO NUTRIENTE LEGNO",15376,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,808009,105,0,105,0,2035-01-31
15000,8002840150008,"DIAVOLINA SPAZZACAMINO g 270",15000,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,55,0,55,0,2035-01-31
15370,8002840153702,"DIAVOLINA PULITORE PLASTICA",15370,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,L1,112,0,112,0,2035-01-31
15372,8002840153726,"DIAVOLINA PULITORE LEGNO",15372,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,305903,101,0,101,0,2035-01-31
GFR10,8023868004593,"Garden Fert Ready Kg 10",GFR10,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,26,0,26,0,2035-01-31
55846,8034052855846,"DIFFUSORE DI ESSENZA ""BOTTIGLIA ESAGONALE"" FIORI della CALIFORNIA ml 700",55846,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,4,0,4,0,2035-01-31
19452,8034052719452,"FILO 40 LED COLORE BIANCO CALDO A BATTERIA DA ESTERNO CON 8 GIOCHI",19452,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,Lotto38411125,24,0,24,0,2035-02-20
GT087,3353090079379,"DRYFEEL tg 10",GT087,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,15,0,15,0,2035-01-31
15343,8002840153436,"DIAVOLINA GREEN POWER LIQUIDO 750ml.",15343,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,221020,73,0,73,0,2035-01-31
15335,8002840153351,"I - DIAVOLINA GREEN POWER 48 cubi",15335,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,190,0,190,0,2035-01-31
16500,8002840165002,"I - DIAVOLINA LE TRE STELLE ""CUCINA"" F.60",16500,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,78,0,78,0,2035-01-31
GT030,3353090078464,"GASTON tg 6/8 - Linea Bambini",GT030,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,10,0,10,0,2035-01-31
GT130,3353090101353,"CHALEUR tg 10",GT130,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,45,4,0,4,0,2030-12-31
CM020,8023868007730,"Garden Fert Giardino Kg 1,5",CM020,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lltto1,3,0,3,0,2035-05-30
CM019,8023868007716,"Garden Fert Ready Kg 1,5",CM019,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,3B2301,19,0,19,0,2035-01-31
6108,3121970173536,"Evergreen Facile e Veloce Kg 1",6108,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,Lotto1,16,0,16,0,2035-01-31
CM007,8023868006474,"Garden Fert Giardino Kg 5",CM007,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,101,0,101,0,2030-12-31
55808,8034052855808,"DIFFUSORE DI ESSENZA ""BOTTIGLIA ESAGONALE"" AGRUMI di SICILIA ml 700",55808,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,8,0,8,0,2035-01-31
CON01,8023868004838,"Evergreen Semina kg 2",CON01,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,52,0,52,0,2035-05-30
GT027,3353090065266,"FUSHIA tg 07",GT027,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto0,9,0,9,0,2035-05-30
15035,8002840150350,"DIAVOLINA SPAZZACAMINO Spray ml 450",15035,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,123,0,123,0,2035-05-30
CM037,8023868008744,"Garden Fert LongLife Giardino Kg 12 (pallbox - 30 sacchi) (**)",CM037,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,13,0,13,0,2035-05-30
16550,8002840165507,"I - DIAVOLINA ACCENDIFACILE",16550,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,20250213,11,0,11,0,2028-02-01
15365,8002840153658,"I - DIAVOLINA RIFORNELLO GEL RICARICA 3 PEZZI",15365,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,L1,61,0,61,0,2028-02-13
15425,8002840154259,"I - DIAVOLINA ACCENDIFUOCO LIGNITE 48 cubi",15425,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,L1,1,0,1,0,2028-02-13
15300,8002840153009,"I - DIAVOLINA ACCENDIFUOCO 40 cubi",15300,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,L1,170,0,170,0,2028-02-13
15352,8002840153528,"DIAVOLINA FIBRA GRILL",15352,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,L1,210,0,210,0,2028-02-13
15356,8002840153566,"DIAVOLINA GREEN POWER BAG 85 acc. naturali",15356,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,20250213,120,0,120,0,2028-02-01
15010,8002840150107,"DIAVOLINA SPAZZACAMINO 5 bustine x 50gr.",15010,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,L1,15,0,15,0,2028-02-28
6122,3121970173611,"Evergreen Ombra Kg 1",6122,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,12,0,12,0,2035-01-31
15317,8002840153177,"DIAVOLINA NATURALE BOX 100 acc.",15317,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,4,0,4,0,2035-01-31
15070,8002840150701,"DIAVOLINA PIETRE E MATTONI Spray 500ml.",15070,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,45,41,0,41,0,2027-12-31
15350,8002840153504,"DIAVOLINA PULITORE GRILL Spray 500ml.",15350,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,45,53,0,53,0,2027-12-31
X605100,8006933079634,"FITO IRRIGO' 4x ml 300",X605100,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,X605100,42,0,42,0,2035-02-28
X501501,8006933079115,"ERBICIDA RTU L 1",X501501,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,38,0,38,0,2035-01-31
15353,8002840153535,"DIAVOLINA HEAVY ROLL PANNO CASA",15353,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,71,0,71,0,2035-01-31
16507,8034052316507,"DIFFUSORE DI ESSENZA MELOGRANO ml 125",16507,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,12,0,12,0,2030-02-25
45181,8034052545181,"FIORIERA IN LEGNO DA APPENDERE H.75X28X28 CM",45181,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,12,0,12,0,2035-02-25
55815,8034052855815,"DIFFUSORE DI ESSENZA ""BOTTIGLIA ESAGONALE"" MELOGRANO ml 700",55815,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,6,0,6,0,2030-02-25
55792,8034052855792,"DIFFUSORE DI ESSENZA ""BOTTIGLIA ESAGONALE"" MUSCHIO ORIENTALE ml 700",55792,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,9,0,9,0,2035-01-31
CM018,8023868007693,"Garden Fert Long Life Kg 1,5",CM018,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,,0,0,0,0,
CM028,8023868003503,"KB Unistar Plus Lt 1",CM028,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,45,34,0,34,0,2027-12-31
6096,3121970173376,"KB Universale NF ml 250",6096,,VITHALGARDENSCRAPING,VITHALGARDENSCRAPING,17021,1,0,1,0,2035-01-31
6094,3121970186406,"KB Orchidee NF ml 250",6094,,VITHALGARDENSCRAPING,VITHALGARDENSCRAPING,36422,2,0,2,0,2035-01-31
PM010,8023868007174,"I - Nexa Svuotamento Totale ml 150",PM010,,VITHALGARDENSCRAPING,VITHALGARDENSCRAPING,02,31,0,31,0,2022-03-01
CM028,8023868003503,"KB Unistar Plus Lt 1",CM028,,VITHALGARDENSCRAPING,VITHALGARDENSCRAPING,45,1,0,1,0,2027-12-31
BR0024,7898963695257,"Irriga Facil ml 300",BR0024,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,99,0,99,0,2029-02-13
6543,3121970173413,"KB Concime Agrumi NF Lt 1",6543,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,34,0,34,0,2035-01-31
SP007,8023868008072,"KB Idratante Orchidee ml 250",SP007,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,c232165,17,0,17,0,2035-01-31
NUN2,802386800350302,"KB UNISTAR 1 lt",NUN2,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,Q38I,26,0,26,0,2035-01-31
E0282,8006933028298,MESEMBRIANTEMO,E0282,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,Lotto1,20,0,20,0,2027-01-31
CM026,8023868007853,"KB Semina & Rigenerazione 2 kg",CM026,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,12,0,12,0,2035-05-30
6090,3121970186321,"KB Concime Piante da fiore NF Lt 1",6090,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,26,0,26,0,2035-02-20
CM027,8023868007877,"KB Antistress 2 kg",CM027,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,,0,0,0,0,
6092,3121970186369,"KB Piante Verdi NF Lt 1",6092,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,,0,0,0,0,
TE001,8023868006368,"MAXIMO Substrato Universale 10L",TE001,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,43,0,43,0,2035-01-31
6036,3121970157758,"KB Concime Piante da Fiore 800 gr",6036,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,45,60,0,60,0,2027-12-31
GT043,3353090083833,"MAXTEEN G-I tg U",GT043,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,6,0,6,0,2035-01-31
KRUST150,3121970179200,"KB Rustico Kg 3,750",KRUST150,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,24,0,24,0,2035-01-31
GT033,3353090073186,"MAXFEEL tg 07",GT033,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,14,0,14,0,2035-01-31
6073,3121970158939,"KB Concime Universale (S) 800 gr",6073,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,79,0,79,0,2035-01-31
CM002,8023868006184,"KB Concime Liquido Sangue di Bue Kg 1",CM002,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,46,0,46,0,2035-01-30
CM023,8023868007792,"Kb Mantenimento 2 kg",CM023,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,Lotto1,32,0,32,0,2035-01-31
GT045,3353090100004,"MAXTOP tg 08",GT045,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,8,0,8,0,2035-01-31
TO002,8023868005859,"KB Rodenticida in Blocchi g 300",TO002,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,7,0,7,0,2035-01-31
GT044,3353090099995,"MAXTOP tg 07",GT044,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,potto1,14,0,14,0,2035-05-30
IOR01,8023868005149,"KB Integratore Orchidee (6x32ml)",IOR01,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,30,0,30,0,2035-05-30
KBSOS80,3121970179637,"KB Magic Prato Kg 4",KBSOS80,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,63,0,63,0,2035-01-31
CM014,8023868006931,"KB Hydrofood Universale Kg 1",CM014,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,63,0,63,0,2035-01-31
E0190,8006933027369,"MARGHERITINA SELVATICA BIANCA DEI PRATI",E0190,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,13,0,13,0,2032-01-15
B80034,8006933071164,"MINI SERRA SMALL",B80034,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,LOTTO1,20,0,20,0,2035-02-28
6490,3121970173314,"KB Piante Acidofile Lt 1",6490,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,58,0,58,0,2035-01-31
PM005,8023868006511,"I - Nexa Vespe e Calabroni schiumogeno ml 750",PM005,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,277T90C,58,0,58,0,2026-10-04
6076,3121970158953,"KB Concime Agrumi e Olivi (S) 800 gr",6076,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,L07,19,0,19,0,2026-08-22
59896,8008090603226,"I - SPIRA SPRAY SPAZI APERTI ml 500",59896,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,Lotto1,108,0,108,0,2025-01-31
E0199,8006933027468,"IMPATIENS O FIOR DI VETRO IN MISCUGLIO",E0199,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,17,0,17,0,2029-04-18
E0055,8006933025556,"LATTUGA DA TAGLIO BIONDA A FOGLIA LISCIA",E0055,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,17,0,17,0,2029-05-07
E0183,8006933027291,"MARGHERITA A POMPON",E0183,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,20,0,20,0,2027-03-16
GT035,3353090099834,"MAXGRIP tg 07",GT035,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,15,0,15,0,2040-05-13
GT042,3353090083826,"MAXTEEN F-I tg U",GT042,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,Lotto1,15,0,15,0,2035-01-31
GT047,3353090100028,"MAXTOP tg 10",GT047,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,10,0,10,0,2035-01-31
15050,8002840150503,"I - DIAVOLINA SUPERVETRO Spray ml 500",15050,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,38,0,38,0,2035-01-31
D6390,312197016438102,"Kb BioPolysect AL (NE) ml 800",D6390,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,L23,36,0,36,0,2033-05-30
6490,3121970173314,"KB Piante Acidofile Lt 1",6490,,VITHALGARDENSCRAPING,VITHALGARDENSCRAPING,lotto1,2,0,2,0,2035-01-31
VES02,8023868004395,"I - Nexa Anti-Vespe Rapido ml 600",VES02,,VITHALGARDENSCRAPING,VITHALGARDENSCRAPING,lotto1,1,0,1,0,2035-01-31
6091,3121970186345,"KB Concime Acidofile NF Lt 1",6091,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,15,0,15,0,2035-01-31
KSOL40,312197017359802,"KB Mediterraneo Plus Kg 1",KSOL40,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,22,0,22,0,2038-01-31
E0274,8006933028212,"MELANGE DI FIORI ESTIVI BU",E0274,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,Lotto1,19,0,19,0,2035-01-31
15360,8002840153603,"I - DIAVOLINA RIFORNELLO GEL+FORNELLETTO 3 RICARICHE",15360,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,116,0,116,0,2035-01-31
VES02,8023868004395,"I - Nexa Anti-Vespe Rapido ml 600",VES02,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,44,0,44,0,2035-01-31
4465,3121970128628,"KB Bastoncini Piante Verdi 40 pz 34 g",4465,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,22,0,22,0,2035-01-31
SM001,8023868006269,"Kb Trifoglio Nanissimo g 100",SM001,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,40,0,40,0,2035-05-30
CM043,8023868013311,"KB Cycas e Palme Lt 1",CM043,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,74,0,74,0,2035-02-20
X605051,8006933055065,"Irrigo Classico ml 300",X605051,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,P240162,929,0,929,0,2035-02-28
X605051,8006933055065,"Irrigo Classico ml 300",X605051,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,P240378,1008,0,1008,0,2030-12-31
IT6171BIS,3121970149357,"Lapillo Vulcanico 33L",IT6171BIS,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,22,1,21,0,2035-01-31
TE003,8023868006382,"MAXIMO Substrato Universale 45L",TE003,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,17,0,17,0,2035-01-31
TE002,8023868006375,"MAXIMO Substrato Universale 20L",TE002,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,20,0,20,0,2035-01-31
CM009,8023868006245,"Kb Rinverdente 2 kg",CM009,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,69,0,69,0,2035-01-31
6479,3121970173291,"KB Piante Verdi Lt 1",6479,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,L26,47,0,47,0,2031-12-31
TO001,8023868005835,"KB Rodenticida in Pasta g 150",TO001,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,T225671,0,0,0,0,2022-11-30
TO001,8023868005835,"KB Rodenticida in Pasta g 150",TO001,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,T214985,0,0,0,0,2021-05-31
IPE01,8023868005156,"KB Integratore Peperoncini (6x35ml)",IPE01,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,LOTTO1,39,0,39,0,2031-12-31
PRC2,8023868002858,"KB PROCAL ml 200",PRC2,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,LOTTO1,20,0,20,0,2033-02-28
6077,3121970158977,"KB Concime Ortensie (S) 800 gr",6077,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,132,0,132,0,2035-01-31
CM015,3121970130829,"KB Ferrochelato (20g x 5 pz) gr 100",CM015,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,Lotto1,64,0,64,0,2035-01-31
6094,3121970186406,"KB Orchidee NF ml 250",6094,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,36422,41,0,41,0,2035-01-31
6430,3121970173239,"KB Universale Lt 1",6430,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,15,0,15,0,2035-01-31
6532,3121970173352,"KB Orchidee ml 250",6532,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,10422,5,0,5,0,2035-01-31
CM001,8023868005750,"KB Agrumi 1 L",CM001,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,15,0,15,0,2035-01-31
6403,3121970186161,"KB Concime Performance Organics Universale gr 700",6403,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,30,0,30,0,2035-01-31
6409,3121970186208,"KB Concime Performance Organics Orticole gr 700",6409,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,,0,0,0,0,
6095,3121970186420,"KB Cactus e Bonsai NF ml 250",6095,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,,0,0,0,0,
6404,3121970186185,"KB Concime Performance Organics Agrumi e Piante Mediterranee gr 700",6404,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,15179,23,0,23,0,2035-02-20
TO003,8023868005873,"KB Rodenticida in Grani g 150",TO003,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,T215070,0,0,0,0,2023-07-31
TO003,8023868005873,"KB Rodenticida in Grani g 150",TO003,,VITHALGARDENSCRAPING,VITHALGARDENSCRAPING,T215070,17,0,17,0,2023-07-31
IUN01,8023868005132,"KB Integratore Universale (6x35ml)",IUN01,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,9,0,9,0,2035-01-31
GT036,3353090099841,"MAXGRIP tg 09",GT036,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,13,0,13,0,2035-01-31
GT132,3353090111796,"LISON tg 6/8 - Linea Bambini",GT132,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,Lotto1,2,0,2,0,2035-01-31
6089,3121970186307,"KB Concime Universale NF Lt 1",6089,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,60,0,60,0,2035-01-31
GT039,3353090083963,"MAXIMA H tg 08",GT039,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,14,0,14,0,2035-01-31
GT131,3353090111789,"LISON tg 4/6 - Linea Bambini",GT131,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,45,24,0,24,0,2030-12-31
KRUST35,3121970179552,"KB Rustico g 875",KRUST35,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,20,0,20,0,2035-05-30
KREGFAC100,3121970179538,"KB Ripara e risemina Kg 2",KREGFAC100,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,Lotto1,14,0,14,0,2035-01-31
6096,3121970173376,"KB Universale NF ml 250",6096,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,17021,232,0,232,0,2035-01-31
KDNES35,3121970179514,"KB Ultra Folto g 875",KDNES35,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,DK22DT2639,28,0,28,0,2035-05-30
6241,3121970150384,"KB Lucidante Fogliare 600 ml",6241,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,V10423,32,0,32,0,2035-05-30
KRESI40,312197017355002,"KB Resistente al calpestio Kg 1",KRESI40,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotzo1,10,0,10,0,2035-05-30
KOMBR28,312197017361102,"KB Prato Ombra Kg 1",KOMBR28,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,DK22DT2285A,20,0,20,0,2032-03-30
TO001,8023868005835,"KB Rodenticida in Pasta g 150",TO001,,VITHALGARDENSCRAPING,VITHALGARDENSCRAPING,T225671,46,0,46,0,2022-11-30
TO001,8023868005835,"KB Rodenticida in Pasta g 150",TO001,,VITHALGARDENSCRAPING,VITHALGARDENSCRAPING,T214985,30,0,30,0,2021-05-31
6401,3121970186123,"Kb Combineo Piante ml 800",6401,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,,0,0,0,0,
4466,3121970128642,"KB Bastoncini Piante Fiorite 40 pz 34 g",4466,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,,0,0,0,0,
SM002,8023868006283,"Kb Dichondra repens g 100",SM002,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,Lotto1,77,0,77,0,2035-01-31
B45700,8006933069291,"MINI SERRA LARGE",B45700,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,B45700,8,0,8,0,2035-01-31
HFA1,8023868004128,"KB Hydrofood Agrumi gr 400",HFA1,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,C2211878,56,0,56,0,2033-01-31
CM024,8023868007815,"Kb Mantenimento Kg 5 (cartone)",CM024,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lozto1,4,0,4,0,2035-05-30
6028,3121970158854,"KB Rinverdente KB 200 ml",6028,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,68,0,68,0,2035-01-31
6078,3121970158991,"KB Concime Rose (S) 800 gr",6078,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,6078,104,0,104,0,2028-02-13
B45203,8006933069314,"MINI SERRA SMALL",B45203,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,8,0,8,0,2035-01-31
X600401,8006933058608,"Irri-go Plus Piante Verdi ml 1000",X600401,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,LC232205,267,0,267,0,2035-02-28
